Bin,symbol,size,color,fillcol,position
SEQF1849.1,2,1,#000000,1,1
SEQF2385.1,2,1,#000000,1,1
SEQF2575.1,2,1,#000000,1,1
SEQF2745.1,2,1,#000000,1,1
SEQF2573.1,2,1,#000000,1,1
SEQF3145.1,2,1,#000000,1,1
ERS3774378.bin.r.7,2,1,#000000,1,1
SEQF5517.1,2,1,#000000,1,1
SEQF2031.1,2,1,#000000,1,1
CMC046.B.bin.r.41,2,1,#000000,1,1
SEQF3708.1,2,1,#000000,1,1
ERS3774485.bin.r.6,2,1,#000000,1,1
SEQF5537.1,2,1,#000000,1,1
SEQF1897.1,2,1,#000000,1,1
CM_periimplantitis__SP_403SPT_T016__bin.1,2,1,#000000,1,1
SEQF1959.1,2,1,#000000,1,1
SEQF1013.1,2,1,#000000,1,1
