Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS3774482.bin.r.2	4	0.0851718494271686	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
ERS3774482.bin.r.2	5	0.0797545008183306	FellowsYates2021	1187	ERS3774482	None	PfuTurbo Cx Hotstart DNA
ERS3887047.bin.r.1	0	0.0537137870855148	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS3887047.bin.r.1	1	0.0408167539267016	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS3887047.bin.r.1	2	0.0275689354275742	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS3887047.bin.r.1	3	0.0222233856893543	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS3887047.bin.r.1	4	0.0203856893542757	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS3887047.bin.r.1	5	0.0171815008726003	Ottoni2019	1187	ERS3887047	None	AmpliTaq Gold DNA
ERS4042406.bin.r.13	0	0.0414597014925373	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042406.bin.r.13	1	0.0103492537313433	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042406.bin.r.13	2	0.00737910447761194	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042406.bin.r.13	3	0.00789253731343284	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042406.bin.r.13	4	0.00660597014925373	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042406.bin.r.13	5	0.00553432835820896	Fagernas2020	1187	ERS4042406	Half	PfuTurbo Cx Hotstart DNA
ERS4042423.bin.r.17	0	0.0507377938517179	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
ERS4042423.bin.r.17	1	0.00823508137432188	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
ERS4042423.bin.r.17	2	0.005875226039783	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
ERS4042423.bin.r.17	3	0.00504701627486438	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
ERS4042423.bin.r.17	4	0.00447377938517179	Fagernas2020	1187	ERS4042423	Half	PfuTurbo Cx Hotstart DNA
